param_scale,model,combo,grid_size,spline_order,hidden_config,actual_params,best_epoch,train_loss,val_loss,val_ber,ber_0dB,ber_5dB,ber_10dB,ber_15dB,ber_20dB,ber_25dB,ber_infdB
2000,KAN-FCNN,B,8,3,"hidden=[7, 2]",1974,27,1.112501e-01,1.113472e-01,4.983176e-01,6.011247e-01,5.442428e-01,5.129444e-01,5.005455e-01,4.984168e-01,4.982565e-01,4.983176e-01
2000,Hybrid-KAN,B,8,3,"linear=[31, 30]",2002,30,2.367272e-05,3.114200e-05,0.000000e+00,5.829957e-01,4.668666e-01,2.859356e-01,1.015329e-01,1.366539e-02,5.875127e-04,0.000000e+00
2000,ResKAN,B,8,3,"fcnn=[17, 16],kh=5",2000,30,1.552074e-04,1.658519e-04,1.526007e-05,5.193612e-01,3.735512e-01,1.784360e-01,3.895133e-02,2.975714e-03,2.060109e-04,1.526007e-05
2000,KAN-FCNN,C,3,5,"hidden=[9, 3]",1995,30,1.517689e-04,1.515963e-04,7.630035e-06,5.350791e-01,3.888647e-01,2.018144e-01,5.173927e-02,4.364380e-03,2.365311e-04,7.630035e-06
2000,Hybrid-KAN,C,3,5,"linear=[50, 15]",2000,30,1.338857e-03,1.371203e-03,7.630035e-06,6.404651e-01,5.031321e-01,2.992118e-01,1.072249e-01,1.361961e-02,6.409229e-04,7.630035e-06
2000,ResKAN,C,3,5,"fcnn=[8, 4],kh=9",2000,30,2.237110e-03,2.252040e-03,6.104028e-05,5.597394e-01,4.448158e-01,2.716140e-01,9.274307e-02,1.096436e-02,5.951427e-04,6.104028e-05
2000,KAN-FCNN,D,10,2,"hidden=[6, 4]",2022,30,2.934113e-06,1.828363e-05,3.815017e-05,5.456009e-01,3.855838e-01,1.919564e-01,4.734437e-02,4.532241e-03,3.815017e-04,3.815017e-05
2000,Hybrid-KAN,D,10,2,"linear=[41, 20]",2002,29,4.277219e-06,9.868714e-06,0.000000e+00,5.747400e-01,4.511334e-01,2.728424e-01,9.241498e-02,1.180366e-02,6.638130e-04,0.000000e+00
2000,ResKAN,D,10,2,"fcnn=[15, 14],kh=5",2000,30,1.771560e-04,1.959308e-04,3.052014e-05,5.169883e-01,3.684315e-01,1.723549e-01,3.666232e-02,3.029124e-03,2.823113e-04,3.052014e-05
3000,KAN-FCNN,A,5,3,"hidden=[13, 4]",2995,30,6.175352e-06,1.098077e-05,7.630035e-06,5.580531e-01,4.215518e-01,2.382784e-01,6.873135e-02,6.119288e-03,1.678608e-04,7.630035e-06
3000,Hybrid-KAN,A,5,3,"linear=[60, 24]",3000,30,2.447574e-05,3.060211e-05,0.000000e+00,5.784558e-01,4.602513e-01,2.827004e-01,9.784757e-02,1.178840e-02,5.417325e-04,0.000000e+00
3000,ResKAN,A,5,3,"fcnn=[8, 5],kh=14",3000,30,6.545854e-04,6.800455e-04,2.289010e-05,5.186821e-01,3.715217e-01,1.804885e-01,4.181259e-02,3.303805e-03,1.831208e-04,2.289010e-05
3000,KAN-FCNN,B,8,3,"hidden=[9, 6]",3018,30,6.636234e-07,6.005992e-06,7.630035e-06,5.590450e-01,4.098244e-01,2.133663e-01,5.451660e-02,4.173629e-03,1.526007e-04,7.630035e-06
3000,Hybrid-KAN,B,8,3,"linear=[40, 40]",3000,30,1.477983e-05,2.208971e-05,0.000000e+00,5.845446e-01,4.688428e-01,2.963353e-01,1.081023e-01,1.464967e-02,5.417325e-04,0.000000e+00
3000,ResKAN,B,8,3,"fcnn=[4, 1],kh=11",3000,30,9.269315e-05,1.030311e-04,7.630035e-06,5.348883e-01,3.844698e-01,1.846621e-01,4.043918e-02,2.937563e-03,1.602307e-04,7.630035e-06
3000,KAN-FCNN,C,3,5,"hidden=[13, 4]",2995,30,7.691425e-05,7.884305e-05,7.630035e-06,5.346213e-01,3.962201e-01,2.161665e-01,6.078086e-02,5.615706e-03,2.441611e-04,7.630035e-06
3000,Hybrid-KAN,C,3,5,"linear=[60, 24]",3000,30,2.173334e-04,2.230318e-04,0.000000e+00,5.744882e-01,4.599614e-01,2.824715e-01,9.787809e-02,1.253615e-02,4.654321e-04,0.000000e+00
3000,ResKAN,C,3,5,"fcnn=[8, 5],kh=14",3000,30,2.182623e-03,2.189040e-03,7.630035e-06,5.649736e-01,4.528502e-01,2.817543e-01,9.996109e-02,1.107881e-02,3.433516e-04,7.630035e-06
3000,KAN-FCNN,D,10,2,"hidden=[9, 4]",3003,30,4.544321e-06,2.594868e-05,4.578021e-05,5.356666e-01,3.836687e-01,1.916894e-01,4.777165e-02,4.570391e-03,3.280915e-04,4.578021e-05
3000,Hybrid-KAN,D,10,2,"linear=[43, 36]",2998,30,8.851790e-05,1.009458e-04,0.000000e+00,6.029254e-01,4.920457e-01,3.077193e-01,1.129932e-01,1.470308e-02,5.722526e-04,0.000000e+00
3000,ResKAN,D,10,2,"fcnn=[5, 4],kh=10",3000,30,1.081056e-04,1.293632e-04,2.289010e-05,5.276245e-01,3.657991e-01,1.705999e-01,3.628845e-02,2.708662e-03,2.365311e-04,2.289010e-05
