SNR,TEQ_BER,KAN_BER,Improvement(%)
0 dB,0.5257399226314464,0.5578471093612898,-6.107047486357833
5 dB,0.38987952174941437,0.3878728225787992,0.5146972484245906
10 dB,0.21414455864063298,0.2046833154027514,4.418157200883625
15 dB,0.07421734917328572,0.06104790898894408,17.74442274082451
20 dB,0.019036936998802084,0.009812224841867527,48.45691382765531
无噪声,0.003425885656297449,0.0006409229290177856,81.29175946547885
