SNR,FCNN,DNN,BiLSTM,RKAN
0 dB,0.5867802015855212,0.5814620672816475,0.5927926690624976,0.5725807066938295
5 dB,0.4752596119364266,0.45863376595631045,0.504368194962651,0.44232075140583393
10 dB,0.3050030138637734,0.27584865062833336,0.35893210031969847,0.2856074652261161
15 dB,0.11657930276741364,0.09495578394793264,0.16892897200540208,0.12047825058560517
20 dB,0.015626311412243153,0.012223315860553483,0.03291597042598485,0.027796217028711823
25 dB,0.0004806921967633392,0.000648552963887045,0.001449706625159277,0.004402530119562646
无噪声,0.0,1.5260069738518704e-05,0.0,0.0003738717085937083
