SNR,FCNN,DNN,BiLSTM,KAN-FCNN,Hybrid-KAN,ResKAN
0 dB,0.5867802015855212,0.5814620672816475,0.5927926690624976,0.5507816970723556,0.5637527563500965,0.5254881314807609
5 dB,0.4752596119364266,0.45863376595631045,0.504368194962651,0.42059041209818326,0.43970364944567797,0.3849276291192651
10 dB,0.3050030138637734,0.27584865062833336,0.35893210031969847,0.24119303225215738,0.25961193642654945,0.19883107865802946
15 dB,0.11657930276741364,0.09495578394793264,0.16893660204027133,0.07249296129283311,0.0851282990363266,0.05018273933511876
20 dB,0.015626311412243153,0.012223315860553483,0.03291597042598485,0.0064168593250471155,0.009613843935266785,0.003876057713583751
25 dB,0.0004806921967633392,0.000648552963887045,0.001449706625159277,0.000129710592777409,0.00038150174346296764,0.0001602307322544464
无噪声,0.0,1.5260069738518704e-05,0.0,0.0,0.0,7.630034869259352e-06
