SNR,FCNN,DNN,BiLSTM,Transformer TEQ,KAN-Former
0 dB,0.5867802015855212,0.5814620672816475,0.5927926690624976,0.5257399226314464,0.5578471093612898
5 dB,0.4752596119364266,0.45863376595631045,0.504368194962651,0.38987952174941437,0.3878728225787992
10 dB,0.3050030138637734,0.27584865062833336,0.35893210031969847,0.21414455864063298,0.2046833154027514
15 dB,0.11657930276741364,0.09495578394793264,0.16893660204027133,0.07421734917328572,0.06104790898894408
20 dB,0.015626311412243153,0.012223315860553483,0.03291597042598485,0.019036936998802084,0.009812224841867527
25 dB,0.0004806921967633392,0.000648552963887045,0.001449706625159277,0.006958591800764529,0.0019227687870533568
无噪声,0.0,1.5260069738518704e-05,0.0,0.003425885656297449,0.0006409229290177856
